place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
imphal east i,1717.14,4486.19,4486.19,0.0,794.17,794.17,safe,23290.0,23290.0,0.0,2024
mao-maram,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,103700.0,0.0,0.0,2024
tipaimukh,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,111500.0,0.0,0.0,2024
kakching,1276.78,2422.76,2422.76,0.0,298.29,298.29,safe,19000.0,19000.0,0.0,2024
sadar hills east,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,93300.0,0.0,0.0,2024
imphal west i,1709.92,4685.35,4685.35,0.0,431.83,431.83,safe,28100.0,28100.0,0.0,2024
bishnupur,1987.59,5447.19,5447.19,0.0,347.39,347.39,safe,28000.0,28000.0,0.0,2024
tamenglong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,85800.0,0.0,0.0,2024
tamenglong north,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,119400.0,0.0,0.0,2024
kamjong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,110400.0,0.0,0.0,2024
ukhrul central,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,119800.0,0.0,0.0,2024
churachandpur,2133.46,6643.47,6643.47,0.0,463.25,463.25,safe,59000.0,32100.0,0.0,2024
imphal east ii,1717.14,8201.42,8201.42,0.0,267.59,267.59,safe,47610.0,47610.0,0.0,2024
sadar hills west,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,76500.0,0.0,0.0,2024
chandel,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,68700.0,0.0,0.0,2024
singngat,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,97700.0,0.0,0.0,2024
chakpikarong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,141300.0,0.0,0.0,2024
tamenglong west,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,126300.0,0.0,0.0,2024
paomata,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,53600.0,0.0,0.0,2024
churachandpur north,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,82500.0,0.0,0.0,2024
mayiladuthurai,1340.63337221996,13498.92,13474.69,24.23,8264.57,8264.57,safe,25630.49,25630.49,0.0,2024
perambur,1505.7,394.42,394.42,0.0,467.51,467.51,over_exploited,1856.6349,1856.6349,0.0,2024
uthangarai,653.675908605276,6972.05,6966.61,5.44,10165.33,10165.33,over_exploited,52412.24,39751.31,0.0,2024
